Source IP,Source Port,Destination IP,Destinatino Port,Protocol,Num_pkts,Bytes,Stream ID,StoD Num_pkts,StoD bytes,DtoS Num_pkts,DtoS bytes,Captured Time,Duration,StoD bits/sec,DtoS bits/sec
192.168.0.38,53476,17.57.145.137,443,TCP,271,75278,20,148,54360,123,20918,39.807649,4971.975885,87,33
192.168.0.38,50165,168.126.63.1,53,UDP,2,264,57,1,77,1,187,43.230708,0.005372,114668,278481
192.168.0.38,61437,168.126.63.1,53,UDP,2,215,58,1,77,1,138,43.231133,0.006263,98355,176273
192.168.0.38,62101,168.126.63.1,53,UDP,2,256,59,1,91,1,165,43.236704,0.005269,138166,250521
192.168.0.38,54140,15.164.151.105,443,TCP,45,16155,21,24,4077,21,12078,43.246595,0.168607,193443,573072
192.168.0.38,62958,168.126.63.1,53,UDP,2,253,60,1,87,1,166,43.249283,0.005313,130999,249952
192.168.0.38,63767,168.126.63.1,53,UDP,2,190,61,1,87,1,103,43.249366,0.00523,133078,157552
192.168.0.38,54141,104.91.77.72,443,TCP,29,9402,22,14,1878,15,7524,43.258511,0.406798,36932,147965
192.168.0.38,54142,15.164.151.105,443,TCP,48,15048,23,26,5157,22,9891,43.421978,0.106314,388058,744285
192.168.0.38,5353,192.168.0.15,5353,UDP,71,81338,62,69,80730,2,608,47.814238,4178.411364,154,1
192.168.0.63,5353,224.0.0.251,5353,UDP,207,76723,63,207,76723,0,0,48.190846,4963.700586,123,0
fe80::493:b41b:127a:9fc6,5353,ff02::fb,5353,UDP,207,80863,64,207,80863,0,0,48.190847,4963.700585,130,0
192.168.0.38,5353,192.168.0.63,5353,UDP,3,1736,65,1,1170,2,566,48.24942,4177.757047,2,1
192.168.0.63,50254,192.168.0.38,7000,TCP,13,2679,24,6,449,7,2230,48.561853,0.038456,93405,463906
192.168.0.38,54545,210.103.251.73,443,TCP,690,100017,25,421,44396,269,55621,52.433797,3103.317054,114,143
192.168.0.38,50492,66.22.228.211,50001,UDP,17781,20302745,66,17043,20218287,738,84458,53.514117,60.024676,2694663,11256
192.168.0.38,56454,168.126.63.2,53,UDP,2,166,67,1,75,1,91,56.93077,0.005554,108030,131076
192.168.0.38,63772,168.126.63.2,53,UDP,2,210,68,1,75,1,135,56.930913,0.005412,110864,199556
192.168.0.38,56837,142.250.207.99,443,UDP,34,8617,69,16,3152,18,5465,56.937069,7.017622,3593,6230
192.168.0.12,5353,224.0.0.251,5353,UDP,32,9751,70,32,9751,0,0,58.943212,3004.255218,25,0
fe80::1c6e:7f8d:cbb4:4197,5353,ff02::fb,5353,UDP,31,10241,71,31,10241,0,0,58.943213,3004.255218,27,0
192.168.0.38,5353,192.168.0.12,5353,UDP,11,4635,72,11,4635,0,0,59.076757,3000.173069,12,0
192.168.0.38,58667,142.250.207.110,443,UDP,19,6874,73,9,2460,10,4414,68.535341,0.274013,71821,128869
0.0.0.0,68,255.255.255.255,67,UDP,102,39900,74,102,39900,0,0,72.666526,9182.006301,34,0
192.168.0.1,67,255.255.255.255,68,UDP,55,32450,75,55,32450,0,0,72.768153,4936.051685,52,0
192.168.0.4,5353,224.0.0.251,5353,UDP,33,10418,76,33,10418,0,0,72.972252,1527.452499,54,0
fe80::1082:2b98:24ad:fba7,5353,ff02::fb,5353,UDP,33,11078,77,33,11078,0,0,72.972253,1527.452499,58,0
192.168.0.38,5353,192.168.0.4,5353,UDP,10,4196,78,10,4196,0,0,73.077628,1514.450882,22,0
192.168.0.3,5353,224.0.0.251,5353,UDP,75,25428,79,75,25428,0,0,77.171593,3103.692575,65,0
fe80::1036:1312:a62:2f13,5353,ff02::fb,5353,UDP,76,27065,80,76,27065,0,0,77.171593,3103.692577,69,0
192.168.0.38,51662,142.250.206.238,443,UDP,16265,7954286,81,7606,3919334,8659,4034952,78.078273,2734.099674,11468,11806
192.168.0.38,64189,168.126.63.2,53,UDP,2,208,82,1,79,1,129,79.768412,0.005867,107721,175899
192.168.0.38,46765,168.126.63.2,53,UDP,2,242,83,1,79,1,163,79.768554,0.005726,110373,227733
192.168.0.38,56578,172.217.25.174,443,UDP,56,29780,84,25,6168,31,23612,79.775245,31.227126,1580,6049
192.168.0.38,30561,168.126.63.2,53,UDP,2,412,85,1,74,1,338,86.284156,0.005256,112633,514459
192.168.0.38,9255,168.126.63.2,53,UDP,2,173,86,1,74,1,99,86.284214,0.005198,113889,152366
192.168.0.38,57296,142.250.207.100,443,UDP,102,61464,87,39,6163,63,55301,86.289913,0.46774,105408,945841
192.168.0.54,60374,192.168.0.38,7000,TCP,12,2613,26,6,449,6,2164,88.957682,0.039979,89847,433027
192.168.0.38,45479,168.126.63.2,53,UDP,2,195,88,1,74,1,121,90.808096,0.006255,94644,154756
192.168.0.38,56429,168.126.63.2,53,UDP,2,229,89,1,74,1,155,90.808153,0.006197,95530,200096
192.168.0.38,46751,168.126.63.2,53,UDP,2,166,90,1,75,1,91,91.009538,0.006113,98151,119090
192.168.0.38,14224,168.126.63.2,53,UDP,2,210,91,1,75,1,135,91.009605,0.006046,99239,178630
192.168.0.38,54961,168.126.63.2,53,UDP,2,414,92,1,75,1,339,91.117701,0.005365,111835,505498
192.168.0.38,23804,168.126.63.2,53,UDP,2,200,93,1,75,1,125,91.117714,0.005352,112107,186846
192.168.0.38,61271,168.126.63.2,53,UDP,2,198,94,1,91,1,107,98.926738,0.005332,136534,160540
192.168.0.38,5121,168.126.63.2,53,UDP,2,232,95,1,91,1,141,98.926794,0.005277,137957,213757
192.168.0.38,61474,142.250.76.138,443,UDP,27,8022,96,13,3100,14,4922,98.932599,6.164318,4023,6387
192.168.0.38,14877,168.126.63.2,53,UDP,2,156,97,1,70,1,86,103.671416,0.006205,90249,110878
192.168.0.38,26293,168.126.63.2,53,UDP,2,227,98,1,70,1,157,103.671462,0.006158,90938,203962
192.168.0.38,54775,20.200.245.247,443,TCP,360,227783,27,130,16026,230,211757,103.677968,179.851107,712,9419
192.168.0.38,5353,192.168.0.45,5353,UDP,13,5707,99,13,5707,0,0,103.743445,2765.517352,16,0
192.168.0.38,26789,168.126.63.1,53,UDP,2,190,100,1,87,1,103,104.686939,0.005789,120228,142338
192.168.0.38,20694,168.126.63.1,53,UDP,2,234,101,1,87,1,147,104.686996,0.005732,121423,205163
192.168.0.38,62045,142.250.76.138,443,UDP,19,7232,102,9,2774,10,4458,104.693516,0.317689,69854,112260
192.168.0.38,2571,168.126.63.2,53,UDP,2,230,103,1,83,1,147,104.69576,0.005754,115397,204379
